focus_country,other_country,val
UGA,ARE,28643
UGA,IDN,1446891
UGA,IND,465025
UGA,MYS,26847046
UGA,SGP,15545303
UGA,AUT,1048898
UGA,BEL,2092593
UGA,CHE,30541
UGA,CZE,4896
UGA,DEU,8541697
UGA,ESP,7160396
UGA,EST,72042
UGA,GBR,477156
UGA,ITA,4151870
UGA,NLD,7972824
UGA,PRT,57986
UGA,RUS,268594
UGA,CAN,1389
UGA,MEX,153783
EST,ARM,2892849
EST,JPN,2367026
EST,KAZ,7644609
EST,MYS,735505
EST,SGP,1298781
EST,BLR,20738417
EST,BEL,210109
EST,FIN,7367
EST,HRV,225218
EST,LVA,1437
EST,NLD,49969
EST,RUS,65042878
EST,UKR,29363423
DEU,BHR,1331
DEU,JPN,610303
DEU,QAT,1043
DEU,SGP,61604
DEU,AUT,9820956
DEU,BGR,6513
DEU,BEL,1569764
DEU,CHE,83733
DEU,CZE,19382
DEU,DNK,2700213
DEU,ESP,1254975
DEU,FIN,3444
DEU,FRA,1079835
DEU,GBR,20883
DEU,GRC,515608
DEU,HRV,403428
DEU,HUN,7650
DEU,IRL,1885
DEU,ITA,18121788
DEU,LTU,10932
DEU,NLD,9770733
DEU,NOR,1276
DEU,POL,3176740
DEU,ROU,8460
DEU,RUS,1088942
DEU,SVN,5437
DEU,SWE,3218
DEU,UKR,3909
DEU,USA,382176
GBR,ZAF,2140
GBR,ARE,5656
GBR,BHR,8384
GBR,HKG,8587
GBR,JPN,3388
GBR,QAT,319143
GBR,AUT,12438
GBR,BGR,15545
GBR,BEL,1248660
GBR,CHE,69351
GBR,CZE,10418
GBR,DEU,16988
GBR,DNK,9768149
GBR,ESP,50919737
GBR,EST,5269
GBR,FIN,86757
GBR,FRA,496968
GBR,GRC,3536
GBR,HRV,1474
GBR,HUN,2921
GBR,IRL,19980
GBR,ITA,142216
GBR,LTU,1221
GBR,LVA,1102
GBR,MLT,2176
GBR,NLD,197604
GBR,NOR,5006
GBR,POL,7126
GBR,PRT,14334
GBR,ROU,5968
GBR,SVN,3511
GBR,SWE,70157
GBR,USA,37324
GBR,ECU,34628
GIN,CHN,42880
GIN,IND,1618825
GIN,MYS,1092494
GIN,VNM,128640
GIN,BEL,2409782
GIN,CHE,9230
GIN,DEU,17418788
GIN,ESP,4545562
GIN,EST,8669429
GIN,FRA,144720
GIN,NLD,4206717
GIN,RUS,1343647
GIN,USA,2219040
VEN,ZAF,40221
VEN,ISR,49390
VEN,JPN,10112137
VEN,KOR,6176
VEN,MYS,224276
VEN,BEL,2130387
VEN,CHE,2904893
VEN,DEU,545911
VEN,ESP,678787
VEN,EST,71280
VEN,FRA,1073295
VEN,GBR,301014
VEN,HUN,17135
VEN,ITA,366678
VEN,NLD,849896
VEN,RUS,20359
VEN,CAN,497916
VEN,USA,8435623
VEN,AUS,82294
VEN,ARG,92943
VEN,COL,1586683
VEN,PER,490655
COL,DZA,267199
COL,ZAF,2152
COL,IND,618703
COL,JPN,193997
COL,KOR,3385
COL,MYS,6387924
COL,BEL,2207011
COL,CHE,142520
COL,DEU,52485
COL,ESP,9022333
COL,EST,5654536
COL,FRA,55040
COL,GBR,114080
COL,ITA,1322249
COL,NLD,5729601
COL,RUS,38851
COL,SVK,2173
COL,CAN,78249
COL,GTM,1368
COL,MEX,7119527
COL,USA,2112043
COL,AUS,3544
COL,ARG,533593
TZA,DZA,1471290
TZA,ZAF,22835
TZA,IDN,141653
TZA,IND,1273411
TZA,JPN,644010
TZA,MYS,17446469
TZA,SGP,4089852
TZA,TUR,402539
TZA,AUT,891645
TZA,BEL,6208318
TZA,DEU,1079518
TZA,ESP,1543983
TZA,EST,72963
TZA,ISL,7005
TZA,ITA,476497
TZA,NLD,745484
TZA,SWE,5491
TZA,CAN,1615574
TZA,USA,696451
TZA,AUS,7200
TGO,ARM,749308
TGO,CHN,7046336
TGO,MYS,963370
TGO,BEL,2650830
TGO,CHE,566100
TGO,DEU,6383001
TGO,ESP,856489
TGO,EST,1944925
TGO,FRA,719398
TGO,ITA,2263922
TGO,NLD,11565739
GHA,TUN,6833453
GHA,ARM,973529
GHA,CHN,39893493
GHA,JPN,88896125
GHA,KAZ,14919958
GHA,KOR,13272499
GHA,MYS,240057149
GHA,PHL,323908
GHA,SGP,95788409
GHA,THA,26380241
GHA,TUR,69561499
GHA,AUT,57903235
GHA,BLR,23257052
GHA,BEL,138384623
GHA,CHE,71879114
GHA,CZE,6080
GHA,DEU,85667084
GHA,ESP,52208121
GHA,EST,46450241
GHA,FRA,149693602
GHA,GBR,42414300
GHA,ITA,57980137
GHA,LVA,4641492
GHA,NLD,313266301
GHA,RUS,37151993
GHA,SRB,11912641
GHA,UKR,26254888
GHA,CAN,25999123
GHA,MEX,95847
GHA,USA,194949779
GHA,AUS,513055
GHA,NZL,9470256
GHA,BRA,29086227
CIV,GHA,43112260
CIV,TUN,2998172
CIV,ARM,1265417
CIV,CHN,8756453
CIV,IDN,45948228
CIV,IND,6779581
CIV,JPN,8306623
CIV,KAZ,1121310
CIV,MYS,136721349
CIV,SGP,10805613
CIV,TUR,186709411
CIV,AUT,5094431
CIV,BIH,308857
CIV,BEL,498831062
CIV,CHE,18825503
CIV,DEU,409295033
CIV,ESP,92671187
CIV,EST,43684166
CIV,FRA,161533789
CIV,GBR,105303671
CIV,ITA,146077350
CIV,NLD,794632400
CIV,POL,22148815
CIV,RUS,96237507
CIV,SRB,1328788
CIV,SVK,22776857
CIV,UKR,6401275
CIV,CAN,99214000
CIV,MEX,22016239
CIV,USA,748882593
COD,UGA,136217
COD,IND,3024184
COD,BEL,919289
COD,CHE,114140
COD,DEU,2196845
COD,ESP,5112063
COD,EST,237948
COD,NLD,339530
COD,USA,2302517
MDG,DZA,141514
MDG,IND,371944
MDG,JPN,300894
MDG,KOR,2777
MDG,MYS,419575
MDG,SGP,52668
MDG,TUR,41411
MDG,AUT,61619
MDG,BEL,1236175
MDG,CHE,4726733
MDG,DEU,3486622
MDG,ESP,378386
MDG,FRA,5368410
MDG,GBR,185749
MDG,ISL,8309
MDG,ITA,438547
MDG,NLD,5728191
MDG,POL,227978
MDG,RUS,4113
MDG,CAN,100248
MDG,USA,3401100
MDG,AUS,40907
SLE,BEL,4807484
SLE,DEU,2910270
SLE,NLD,14389960
SLE,CAN,51110
SLE,USA,232427
COG,CHE,33180
COG,DEU,2442505
COG,ESP,1520103
COG,EST,30011
COG,ITA,1756999
COG,NLD,174005
BRA,IND,328114
BRA,JPN,1622379
BRA,BEL,51089
BRA,CHE,87442
BRA,DNK,3704
BRA,ESP,85951
BRA,FRA,736853
BRA,GBR,4365
BRA,ITA,24310
BRA,NLD,17919052
BRA,CAN,2890
BRA,USA,127988
BRA,AUS,41416
BRA,ARG,202205
IND,GIN,164953
IND,IDN,2999778
IND,NPL,1052
IND,SGP,14933276
IND,AUT,55103
IND,NLD,64855
IND,CAN,1118
IND,USA,318571
IND,AUS,2950
FRA,BEN,2266
FRA,CMR,1336
FRA,MAR,2539
FRA,ZAF,3287
FRA,ARE,9780
FRA,HKG,6460
FRA,ISR,1047
FRA,JPN,39838
FRA,KOR,67090
FRA,LBN,3488
FRA,QAT,12139
FRA,SGP,9126
FRA,THA,3599
FRA,XXB,4714
FRA,AUT,1734
FRA,BEL,4602454
FRA,CHE,35169
FRA,CZE,7703
FRA,DEU,9806283
FRA,DNK,112357
FRA,ESP,1289935
FRA,FIN,1242
FRA,GBR,78650
FRA,GRC,10852
FRA,IRL,1457
FRA,ITA,1704357
FRA,NLD,2317730
FRA,PRT,12438
FRA,ROU,7850
FRA,SVN,78163
FRA,SWE,14245
FRA,CAN,12459
FRA,USA,265743
FRA,AUS,1597
FRA,NCL,4055
FRA,NZL,1359
POL,CHE,38567
POL,EST,15375
POL,FRA,51181
POL,GBR,20403
POL,IRL,6546
POL,LTU,1439
POL,LVA,3596
POL,NLD,6398722
POL,ROU,1603
POL,UKR,1258
CHE,CHN,9033
CHE,HKG,12840
CHE,XXB,3571
CHE,AND,4490
CHE,BEL,25212
CHE,DEU,478995
CHE,ESP,187190
CHE,FRA,697002
CHE,GBR,4756
CHE,ITA,44162
CHE,NLD,450791
CHE,USA,167572
CHE,AUS,1938
CHE,BRA,2747909
ESP,ISR,6291
ESP,JPN,158106
ESP,SGP,1913
ESP,BEL,3967
ESP,CZE,1116
ESP,FRA,399059
ESP,GBR,1992952
ESP,HRV,6964
ESP,ITA,14924
ESP,NLD,78150
ESP,PRT,268976
ESP,ROU,21297
