focus_country,other_country,val
FRA,PAK,75466
FRA,PHL,268531
FRA,PSE,159084
FRA,QAT,4399493
FRA,SAU,2017444
FRA,SGP,7411853
FRA,SYR,4793
FRA,THA,2563935
FRA,TKM,6719
FRA,TUR,1344751
FRA,UZB,12767
FRA,VNM,200592
FRA,XXB,4870794
FRA,ALB,164702
FRA,AND,641817
FRA,AUT,13472403
FRA,BGR,869442
FRA,BIH,166485
FRA,BLR,525253
FRA,BEL,159411252
FRA,CHE,31415058
FRA,CZE,12156171
FRA,DEU,198310942
FRA,DNK,11071459
FRA,ESP,149093832
FRA,EST,901734
FRA,FIN,4080782
FRA,GBR,219820458
FRA,GRC,5222748
FRA,HRV,884135
FRA,HUN,2716208
FRA,IRL,14221494
FRA,ISL,675582
FRA,ITA,89195047
FRA,LTU,2062509
FRA,LVA,565717
FRA,MDA,222283
FRA,MKD,151576
FRA,MLT,475727
FRA,MNE,22040
FRA,NLD,108617421
FRA,NOR,7466296
FRA,POL,16903319
FRA,PRT,21217514
FRA,ROU,3075496
FRA,RUS,11626930
FRA,SRB,535810
FRA,SVK,10969562
FRA,SVN,1099900
FRA,SWE,18075785
FRA,UKR,640511
FRA,ATG,3273
FRA,BHS,1414
FRA,BLM,179711
FRA,BMU,5573
FRA,BRB,12431
FRA,CAN,34054824
FRA,CRI,173695
FRA,CUB,9832
FRA,CUW,4483
FRA,DOM,111967
FRA,GRL,26520
FRA,GTM,113622
FRA,HND,2226
FRA,HTI,45131
FRA,LCA,25769
FRA,MAF,250734
FRA,MEX,1988951
FRA,NIC,14158
FRA,PAN,174936
FRA,SLV,45567
FRA,SPM,219074
FRA,USA,40907436
FRA,VCT,1255
FRA,VGB,8663
FRA,AUS,23816771
FRA,FJI,66897
FRA,NCL,4323155
FRA,NZL,2760370
FRA,PYF,2443650
FRA,VUT,318587
FRA,WLF,113964
FRA,ARG,415494
FRA,BRA,3805319
FRA,CHL,1004943
FRA,COL,760593
FRA,ECU,1146
FRA,PER,213208
FRA,PRY,43166
FRA,URY,134530
BEL,AGO,780044
BEL,BDI,37899
BEL,BEN,20938
BEL,BFA,3973
BEL,CAF,32192
BEL,CIV,112408
BEL,CMR,186763
BEL,COD,1201130
BEL,COG,40849
BEL,CPV,15292
BEL,DJI,110247
BEL,DZA,2283396
BEL,EGY,2941213
BEL,ETH,177343
BEL,GAB,58468
BEL,GHA,102212
BEL,GIN,9965
BEL,GMB,5120
BEL,KEN,556026
BEL,LBY,1364786
BEL,MAR,2603188
BEL,MDG,61304
BEL,MLI,14334
BEL,MOZ,31085
BEL,MRT,62670
BEL,MUS,1043823
BEL,MWI,3787
BEL,NER,20977
BEL,NGA,154951
BEL,RWA,133802
BEL,SDN,58842
BEL,SEN,411056
BEL,SLE,82852
BEL,SYC,178609
BEL,TCD,3917
BEL,TGO,20507
BEL,TUN,468310
BEL,TZA,35503
BEL,UGA,42477
BEL,ZAF,11932974
BEL,ZMB,20461
BEL,ZWE,6620
BEL,ATF,6360
BEL,ARE,19300674
BEL,ARM,371699
BEL,AZE,732156
BEL,BGD,1833
BEL,BHR,1722081
BEL,BRN,5122
BEL,CHN,36856629
BEL,CYP,1094568
BEL,GEO,2564802
BEL,HKG,30880595
BEL,IDN,6202059
BEL,IND,4652477
BEL,IRN,185321
BEL,IRQ,438636
BEL,ISR,44458656
BEL,JOR,1416856
BEL,JPN,66213393
BEL,KAZ,341760
BEL,KGZ,57189
BEL,KHM,42283
BEL,KOR,23081572
BEL,KWT,10447487
BEL,LBN,9200170
BEL,LKA,227789
BEL,MAC,168019
BEL,MDV,397579
BEL,MMR,160345
BEL,MNG,689111
BEL,MYS,5713300
BEL,NPL,11443
BEL,OMN,814692
BEL,PAK,609197
BEL,PHL,1741489
BEL,PSE,7444
BEL,QAT,3249198
BEL,SAU,14219901
BEL,SGP,9158878
BEL,SYR,1097
